date;chalco_price;chalco_adj;chalco_volume
28.04.2020;1.550000;1.504526;7614000
29.04.2020;1.550000;1.611992;17699726
04.05.2020;1.590000;1.494757;20620606
05.05.2020;1.540000;1.504526;8356800
06.05.2020;1.550000;1.563144;20704000
07.05.2020;1.600000;1.543605;9173121
08.05.2020;1.580000;1.572914;9457125
11.05.2020;1.610000;1.582684;14620504
12.05.2020;1.600000;1.533835;16963165
13.05.2020;1.560000;1.504526;24778729
14.05.2020;1.520000;1.475217;31857128
15.05.2020;1.510000;1.484987;9063932
18.05.2020;1.500000;1.553375;15179609
19.05.2020;1.620000;1.533835;23250989
20.05.2020;1.580000;1.543605;7687075
21.05.2020;1.600000;1.504526;11918609
22.05.2020;1.510000;1.445908;34334843
25.05.2020;1.480000;1.426369;31078848
26.05.2020;1.480000;1.416600;23974000
27.05.2020;1.460000;1.406830;28704800
28.05.2020;1.450000;1.406830;37204356
29.05.2020;1.400000;1.397060;34110374
01.06.2020;1.450000;1.426369;31494719
02.06.2020;1.460000;1.426369;26667380
03.06.2020;1.480000;1.484987;20998046
04.06.2020;1.530000;1.494757;13542000
05.06.2020;1.520000;1.543605;23148796
08.06.2020;1.600000;1.553375;30052050
09.06.2020;1.610000;1.572914;21287122
10.06.2020;1.610000;1.533835;19132020
11.06.2020;1.570000;1.494757;17594572
12.06.2020;1.460000;1.465448;29373491
15.06.2020;1.500000;1.436139;18671240
16.06.2020;1.480000;1.484987;20788280
17.06.2020;1.510000;1.475217;17745500
18.06.2020;1.510000;1.504526;13736000
19.06.2020;1.550000;1.484987;20292013
22.06.2020;1.510000;1.455678;19108161
23.06.2020;1.480000;1.455678;7099305
24.06.2020;1.490000;1.455678;6672792
26.06.2020;1.480000;1.436139;7599808
29.06.2020;1.460000;1.416600;16599000
30.06.2020;1.450000;1.416600;12413229
02.07.2020;1.470000;1.484987;29331120
03.07.2020;1.530000;1.533835;27200917
06.07.2020;1.620000;1.729228;95460945
07.07.2020;1.820000;1.719459;70010751
08.07.2020;1.780000;1.826925;60566000
09.07.2020;1.890000;1.953930;100785718
10.07.2020;1.980000;1.885543;56117753
13.07.2020;1.930000;2.032088;66311517
14.07.2020;2.020000;1.983239;44430800
15.07.2020;2.130000;2.041857;81702439
16.07.2020;2.110000;1.944161;46230392
17.07.2020;2.000000;1.856234;43712000
20.07.2020;1.940000;2.032088;56860662
21.07.2020;2.100000;2.002779;38347312
22.07.2020;2.050000;2.022318;56890730
23.07.2020;2.090000;2.002779;32276350
24.07.2020;2.040000;1.924621;41864000
27.07.2020;1.970000;1.944161;37412687
28.07.2020;2.010000;1.983239;31509613
29.07.2020;2.060000;2.012548;35156000
30.07.2020;2.080000;2.022318;39666014
31.07.2020;2.070000;1.944161;29705938
03.08.2020;2.000000;1.973470;19601495
04.08.2020;2.050000;2.100475;57178788
05.08.2020;2.190000;2.198172;62081476
06.08.2020;2.290000;2.217711;28961497
07.08.2020;2.270000;2.129784;35902006
10.08.2020;2.160000;2.071166;33430000
11.08.2020;2.130000;2.080936;22559989
12.08.2020;2.090000;2.012548;27782509
13.08.2020;2.060000;1.983239;17685533
14.08.2020;2.020000;1.973470;23891127
17.08.2020;2.010000;1.983239;16746899
18.08.2020;2.050000;2.061396;28533828
19.08.2020;2.140000;2.032088;10296152
20.08.2020;2.080000;2.012548;20163254
21.08.2020;2.090000;2.032088;20772379
24.08.2020;2.090000;2.041857;16726519
25.08.2020;2.090000;2.032088;12769547
26.08.2020;2.090000;1.885543;52907341
27.08.2020;1.960000;1.924621;23507040
28.08.2020;1.970000;1.924621;16240000
31.08.2020;1.950000;1.856234;40680227
01.09.2020;1.900000;1.914852;19782000
02.09.2020;1.970000;1.885543;17225035
03.09.2020;1.950000;1.846464;24242266
04.09.2020;1.840000;1.856234;17818300
