"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2023","11,692.97","11,692.97","11,692.97","11,692.97","","0.05%"
"02/06/2023","11,687.49","11,687.49","11,687.49","11,687.49","","-1.72%"
"02/03/2023","11,892.33","11,892.33","11,892.33","11,892.33","","-1.33%"
"02/02/2023","12,052.67","12,052.67","12,052.67","12,052.67","","0.29%"
"02/01/2023","12,017.29","12,017.29","12,017.29","12,017.29","","1.03%"
"01/31/2023","11,894.22","11,894.22","11,894.22","11,894.22","","-0.83%"
"01/30/2023","11,993.41","11,993.41","11,993.41","11,993.41","","0.86%"
"01/20/2023","11,891.53","11,891.53","11,891.53","11,891.53","","0.60%"
"01/19/2023","11,820.80","11,820.80","11,820.80","11,820.80","","0.42%"
"01/18/2023","11,771.08","11,771.08","11,771.08","11,771.08","","-0.15%"
"01/17/2023","11,788.80","11,788.80","11,788.80","11,788.80","","-0.99%"
"01/16/2023","11,906.11","11,906.11","11,906.11","11,906.11","","1.65%"
"01/13/2023","11,712.81","11,712.81","11,712.81","11,712.81","","1.71%"
"01/12/2023","11,516.38","11,516.38","11,516.38","11,516.38","","0.34%"
"01/11/2023","11,477.19","11,477.19","11,477.19","11,477.19","","-0.27%"
"01/10/2023","11,508.81","11,508.81","11,508.81","11,508.81","","0.21%"
"01/09/2023","11,484.30","11,484.30","11,484.30","11,484.30","","1.96%"
"01/06/2023","11,263.63","11,263.63","11,263.63","11,263.63","","0.62%"
"01/05/2023","11,194.05","11,194.05","11,194.05","11,194.05","","2.10%"
"01/04/2023","10,963.72","10,963.72","10,963.72","10,963.72","","-0.12%"
"01/03/2023","10,977.25","10,977.25","10,977.25","10,977.25","","1.52%"
"12/30/2022","10,812.78","10,812.78","10,812.78","10,812.78","","0.46%"
"12/29/2022","10,763.64","10,763.64","10,763.64","10,763.64","","-0.32%"
"12/28/2022","10,797.78","10,797.78","10,797.78","10,797.78","","-0.51%"
"12/27/2022","10,853.11","10,853.11","10,853.11","10,853.11","","1.36%"
"12/26/2022","10,707.94","10,707.94","10,707.94","10,707.94","","0.96%"
"12/23/2022","10,606.29","10,606.29","10,606.29","10,606.29","","-0.41%"
"12/22/2022","10,649.75","10,649.75","10,649.75","10,649.75","","-0.23%"
"12/21/2022","10,674.60","10,674.60","10,674.60","10,674.60","","0.04%"
"12/20/2022","10,670.48","10,670.48","10,670.48","10,670.48","","-1.58%"
"12/19/2022","10,842.14","10,842.14","10,842.14","10,842.14","","-1.80%"
"12/16/2022","11,041.00","11,041.00","11,041.00","11,041.00","","-0.10%"
"12/15/2022","11,052.22","11,052.22","11,052.22","11,052.22","","-0.10%"
