date;hongqiao_price;hongqiao_adj;hongqiao_volume
04.02.2020;3.860000;2.794281;2881762
05.02.2020;4.090000;2.815185;4243000
06.02.2020;4.100000;2.877900;3692450
07.02.2020;4.110000;2.863964;2820489
10.02.2020;4.110000;2.815185;1767000
11.02.2020;4.130000;2.850027;1672085
12.02.2020;4.120000;2.877900;2799500
13.02.2020;4.160000;2.870932;3456000
14.02.2020;4.170000;2.898805;6608436
17.02.2020;4.230000;2.961519;3279500
18.02.2020;4.200000;2.891837;2418426
19.02.2020;4.160000;2.933646;1746500
20.02.2020;4.260000;2.870932;2195462
21.02.2020;4.150000;2.891837;3268500
24.02.2020;4.130000;2.822154;3696000
25.02.2020;4.050000;2.794281;2692574
26.02.2020;4.000000;2.787313;1711644
27.02.2020;4.030000;2.926678;3076000
28.02.2020;4.090000;2.912741;16960000
02.03.2020;4.150000;3.031202;8206000
03.03.2020;4.430000;2.926678;3405000
04.03.2020;4.200000;2.954551;3650000
05.03.2020;4.270000;2.877900;3306207
06.03.2020;4.110000;2.808217;3629648
09.03.2020;4.010000;2.647947;5911000
10.03.2020;3.780000;2.634010;5703295
11.03.2020;3.850000;2.606137;2981500
12.03.2020;3.720000;2.508581;4229742
13.03.2020;3.400000;2.397089;10918600
16.03.2020;3.440000;2.132294;8373344
17.03.2020;3.170000;2.208945;0
18.03.2020;3.160000;2.104421;7808904
19.03.2020;3.140000;2.006865;7291440
20.03.2020;3.010000;2.132294;9667179
23.03.2020;3.100000;2.097452;12492272
24.03.2020;3.030000;2.139262;8124460
25.03.2020;3.180000;2.229850;17132791
26.03.2020;3.190000;2.292564;11082100
27.03.2020;3.330000;2.362247;9380788
30.03.2020;3.350000;2.229850;5507428
31.03.2020;3.200000;2.299533;5543408
01.04.2020;3.310000;2.271660;7138256
02.04.2020;3.250000;2.257723;2155982
03.04.2020;3.250000;2.257723;3862099
06.04.2020;3.250000;2.257723;3679981
07.04.2020;3.360000;2.397089;8518400
08.04.2020;3.480000;2.362247;5894748
09.04.2020;3.450000;2.466771;3237000
14.04.2020;3.550000;2.494644;11600548
15.04.2020;3.580000;2.459803;7453000
16.04.2020;3.500000;2.438898;4367715
17.04.2020;3.520000;2.487676;4234866
20.04.2020;3.570000;2.466771;2123500
21.04.2020;3.510000;2.397089;2429916
22.04.2020;3.420000;2.417993;3517532
23.04.2020;3.520000;2.404057;2244860
24.04.2020;3.460000;2.397089;3419070
27.04.2020;3.460000;2.438898;4117856
28.04.2020;3.550000;2.613105;3180434
29.04.2020;3.750000;2.689756;4375573
04.05.2020;3.750000;2.613105;3460024
05.05.2020;3.750000;2.543422;2508807
06.05.2020;3.670000;2.501613;5751159
07.05.2020;3.580000;2.494644;10250806
08.05.2020;3.670000;2.522518;6205500
11.05.2020;3.680000;2.536454;4983500
12.05.2020;3.640000;2.480708;8935342
13.05.2020;3.560000;2.508581;5102500
14.05.2020;3.560000;2.404057;7488105
15.05.2020;3.480000;2.390121;5518500
18.05.2020;3.440000;2.369215;3289500
19.05.2020;3.460000;2.459803;4932000
20.05.2020;3.630000;2.431930;4752272
21.05.2020;3.600000;2.466771;3399000
22.05.2020;3.560000;2.369215;6188000
25.05.2020;3.400000;2.313469;5537500
26.05.2020;3.320000;2.424962;9114000
27.05.2020;3.520000;2.459803;4441500
28.05.2020;3.550000;2.404057;3817074
29.05.2020;3.400000;2.376184;7833530
01.06.2020;3.470000;2.438898;5516225
02.06.2020;3.510000;2.522518;5649000
03.06.2020;3.650000;2.606137;9600763
04.06.2020;3.460000;2.652128;5815000
05.06.2020;3.400000;2.621468;2467250
08.06.2020;3.450000;2.644463;2978500
09.06.2020;3.420000;2.705784;3662721
10.06.2020;3.540000;2.751774;4113500
11.06.2020;3.550000;2.690454;2202900
12.06.2020;3.500000;2.698119;4254400
15.06.2020;3.520000;2.621468;3110290
16.06.2020;3.460000;2.698119;3446500
17.06.2020;3.590000;2.705784;1668035
18.06.2020;3.540000;2.782435;5040476
19.06.2020;3.630000;2.759439;9542301
22.06.2020;3.570000;2.728779;6255661
23.06.2020;3.500000;2.659793;2619221
24.06.2020;3.430000;2.636798;3337637
26.06.2020;3.590000;2.606137;2271893
29.06.2020;3.510000;2.721114;7969840
